variant,condition,seed,fold,bin_accuracy,bin_f1_macro,bin_f1_pos,bin_recall_0,bin_recall_1,bin_n,bin_auc,bin_ece,aff_accuracy,aff_f1_macro,aff_recall_class0,aff_recall_class1,aff_recall_class2
temporal,no_audio,0,1,0.875,0.4666666666666667,0.9333333333333333,0.0,1.0,16,0.5,0.18716361373662949,0.5625,0.32575757575757575,0.0,0.25,0.8
temporal,no_audio,0,2,0.625,0.38461538461538464,0.7692307692307693,0.0,0.9090909090909091,16,0.1818181818181818,0.32023107074201107,0.5625,0.2608695652173913,0.0,0.0,0.8181818181818182
temporal,no_audio,0,3,0.6875,0.6135265700483092,0.782608695652174,0.6666666666666666,0.6923076923076923,16,0.6410256410256411,0.20118070766329765,0.5,0.3212121212121212,0.0,0.3333333333333333,0.6666666666666666
temporal,no_physio,0,0,0.5625,0.36,0.72,0.0,1.0,16,0.5396825396825397,0.30954114720225334,0.3125,0.22875816993464052,0.0,0.25,0.6
temporal,no_physio,0,1,0.875,0.4666666666666667,0.9333333333333333,0.0,1.0,16,0.35714285714285715,0.2286267727613449,0.5625,0.32575757575757575,0.0,0.25,0.8
temporal,no_physio,0,2,0.625,0.38461538461538464,0.7692307692307693,0.0,0.9090909090909091,16,0.23636363636363633,0.32857401855289936,0.4375,0.2222222222222222,0.0,0.0,0.6363636363636364
temporal,no_physio,0,3,0.75,0.6666666666666667,0.8333333333333334,0.6666666666666666,0.7692307692307693,16,0.7179487179487181,0.14911742880940435,0.5625,0.31521739130434784,0.0,0.16666666666666666,0.8888888888888888
temporal,no_video,0,0,0.5625,0.36,0.72,0.0,1.0,16,0.5714285714285714,0.3163881003856659,0.3125,0.22875816993464052,0.0,0.25,0.6
temporal,no_video,0,1,0.875,0.4666666666666667,0.9333333333333333,0.0,1.0,16,0.4285714285714286,0.18555408343672755,0.4375,0.26666666666666666,0.0,0.25,0.6
temporal,no_video,0,2,0.6875,0.4074074074074074,0.8148148148148148,0.0,1.0,16,0.19999999999999998,0.3076133206486702,0.375,0.19999999999999998,0.0,0.0,0.5454545454545454
temporal,no_video,0,3,0.8125,0.4482758620689655,0.896551724137931,0.0,1.0,16,0.6923076923076923,0.16735229641199112,0.5,0.2222222222222222,0.0,0.0,0.8888888888888888
temporal,physio_only,0,0,0.5625,0.36,0.72,0.0,1.0,16,0.6190476190476191,0.29774515703320503,0.3125,0.22875816993464052,0.0,0.25,0.6
temporal,physio_only,0,1,0.875,0.4666666666666667,0.9333333333333333,0.0,1.0,16,0.39285714285714285,0.23376977443695068,0.4375,0.2962962962962963,0.0,0.5,0.5
temporal,physio_only,0,2,0.6875,0.4074074074074074,0.8148148148148148,0.0,1.0,16,0.19999999999999996,0.3546089641749859,0.25,0.18095238095238098,0.0,0.5,0.2727272727272727
temporal,physio_only,0,3,0.8125,0.4482758620689655,0.896551724137931,0.0,1.0,16,0.6923076923076924,0.16497696936130524,0.625,0.39057239057239057,0.0,0.3333333333333333,0.8888888888888888
temporal,video_only,0,0,0.5625,0.36,0.72,0.0,1.0,16,0.5714285714285714,0.2962477393448353,0.3125,0.22875816993464052,0.0,0.25,0.6
temporal,video_only,0,1,0.875,0.4666666666666667,0.9333333333333333,0.0,1.0,16,0.42857142857142855,0.18520327284932137,0.5625,0.32575757575757575,0.0,0.25,0.8
temporal,video_only,0,2,0.4375,0.30434782608695654,0.6086956521739131,0.0,0.6363636363636364,16,0.19999999999999998,0.3449836317449808,0.5625,0.2608695652173913,0.0,0.0,0.8181818181818182
temporal,video_only,0,3,0.5625,0.5151515151515151,0.6666666666666666,0.6666666666666666,0.5384615384615384,16,0.6923076923076923,0.368300748988986,0.5,0.25396825396825395,0.0,0.0,0.8888888888888888
